post_id,created_time,views,likes,replies,permalink,content
17880072429425710,2025-11-25T11:37:27+0000,28,0,1,https://www.threads.com/@ye__bin04/post/DRel97CkkZm,"57세 쉐프, 라멘 끓이다가 곰에게 습격당했다고?! 😱

하지만 놀랍게도 유도로 곰을 제압했다는 사실! “오소토가리!”라며 반격에 나선 그의 모습은 상상을 초월해요.

이 일은 일본 한 식당에서 발생했으며, 곰은 주방으로 뛰어들어 혼란을 일으켰습니다. 주변 사람들은 상황을 지켜보며 경악을 금치 못했다고 하네요.

온라인에서는 “대단하다!”, “이 정도면 진짜 영웅 아니냐?”라는 반응이 쏟아지고 있습니다. 

여러분은 이런 상황이라면 어떻게 대처하셨을 것 같나요? 

사건사고 #라멘쉐프 #곰습격 #영웅 #일본이야기"
17921494158193611,2025-11-25T11:39:38+0000,0,2,1,https://www.threads.com/@ye__bin04/post/DRemOE2Es70,"""같이 또 연기하자고 했잖아요""… 나문희, 고 이순재 비보에 눈물 흘리다.

그리움과 동료애가 담긴 나문희의 애도. 고(故) 이순재는 91세의 나이로 세상을 떠났고, 나문희는 그를 향해 “우리 문화의 역사 그 자체인 분”이라고 회상했다. 두 사람은 드라마 '거침없이 하이킥'에서 부부로 많은 사랑을 받았으며, 나문희는 고 이순재와의 특별한 순간들을 되새겼다.

“또 같이 작품하고 연기하자는 꿈 같은 얘기를 했었는데…”라는 나문희의 말이 가슴을 아리게 한다. 원로 배우들 간의 이별이 남긴 슬픔을 함께 나누고 싶다면, 여러분은 어떻게 느끼셨나요?

연예이슈 #고이순재 #하이킥 #연기인생 #원로배우"
17862771342458632,2025-11-25T11:39:17+0000,0,1,1,https://www.threads.com/@ye__bin04/post/DRemLZtEka0,"""이재명, 정말 최고권력자도 죗값을 받아야 한다고 생각할까?"" 충격적인 발언이 구미에서 나왔습니다. 국민의힘은 25일 검찰의 대장동 사건 항소 포기를 언급하며 이재명 대통령의 재판 재개를 촉구했습니다. 

장동혁 대표는 ""최고권력자라도 죗값을 받아야 한다""며 이재명 정권을 강하게 비판했습니다. ""우리의 일상을 파괴하는 정권""이라며 당원들과 함께 구미역 광장에서 결의를 다졌습니다. 

그들은 ""법치파괴 검열정권""이라는 피켓을 들고 힘을 모았습니다. 이재명 정권의 실정에 대한 비판은 날로 거세지고 있습니다. 

이번 민생회복과 법치수호 경북 국민대회, 여러분은 어떻게 생각하나요? 이 정도면 처벌이 강화되어야 한다고 보나요? 

정치이슈 #국민의힘 #이재명 #법치수호 #민생회복"
17869220175407141,2025-11-25T11:38:54+0000,0,0,1,https://www.threads.com/@ye__bin04/post/DRemIlikttq,"튀르키예 한국전 참전 기념탑에 헌화한 이재명 대통령, “감사합니다” 생존 참전용사와의 만남!

25일, 이 대통령은 튀르키예 앙카라 한국공원 내 기념탑을 방문해 헌화하며 한국전쟁에 참여한 튀르키예군을 기렸습니다. 검은 정장을 입고 태극무늬 화환을 놓은 그는 생존 참전용사들에게 진심 어린 감사의 뜻을 전달했죠. 

이번 헌화는 2만명 이상 파병한 튀르키예에 대한 높은 존경을 나타내는 자리였으며, 대통령 부부는 유가족들에게도 감사의 마음을 전했습니다. 

이런 gesture가 왜 중요한지, 여러분은 어떻게 생각하나요?

한국전쟁 #튀르키예 #헌화 #이재명 #감사합니다"
18084782930009302,2025-11-25T11:38:10+0000,0,0,1,https://www.threads.com/@ye__bin04/post/DRemDLXEosT,"사우디아라비아에서 125km에 달하는 초대형 금 벨트를 발견했다는 소식, 믿어지는가? 이 발견은 사우디의 비전 2030 전략이 실제로 이루어지고 있다는 증거로, 석유 의존도를 줄이려는 의지가 느껴진다. 

해당 금광에서 고품질 금이 매장되어 있어, 수천 개의 일자리가 창출될 전망이다. 이는 국제 금값에도 큰 영향을 미칠 것으로 보이며, 사우디는 글로벌 금 시장의 새로운 강자로 떠오를 가능성이 크다.

이렇게 큰 발견, 여러분은 어떻게 생각하나요? 사우디의 미래, 주목해야 할 것 같음? 

사우디발견 #금광 #비전2030 #자원경제 #오늘의이슈"
18073792385212821,2025-11-25T11:38:33+0000,0,0,1,https://www.threads.com/@ye__bin04/post/DRemGD9kkvN,"“수이 머릿속에 우동사리?” 19세 신인 걸그룹 '키키'의 하음이 라이브 방송 중 멤버에게 비하 발언을 해 논란에 휘말렸습니다. 

하음은 지유가 우동에 대해 언급하자, 수이를 겨냥해 “우동사리가 들어있어요”라고 말하며 주변을 당황하게 만들었죠. 이를 지적한 지유는 “혼나야 할 것 같다”고 말했지만, 하음은 장난스럽게 “수이는 바보니까”라며 논란은 더욱 커졌습니다. 

팬들은 “이런 장난은 문제가 있다”고 지적하며 소속사 차원의 교육 필요성을 주장하고 있습니다. 결국, “안에서 새는 바가지 밖에서도 샌다”는 우려의 목소리가 커지고 있는 상황입니다. 

여러분은 이 상황, 어떻게 생각하시나요? 처벌이 필요하다고 보나요? 

키키 #라이브방송 #논란 #걸그룹 #연예이슈"
17870089452470637,2025-11-25T11:37:45+0000,0,0,1,https://www.threads.com/@ye__bin04/post/DRemASUEnXl,"“위고비와 마운자? 내가 원하는 건 쯔양이야!”

이번에 내가 상상한 딱 맞는 조합은 쯔양! 어떤 맛과 조화를 이룰지 상상만 해도 군침이 돈다.

이런 기회를 놓칠 수는 없지! 여러분은 어떤 조합으로 쯔양을 즐기고 싶어? 

이거 꽤 궁금해! 댓글로 알려줘! 

맛조합 #쯔양 #음식아이디어 #먹스타그램 #오늘의요리"
18087490822950620,2025-11-25T11:37:04+0000,0,0,1,https://www.threads.com/@ye__bin04/post/DRel7MYEiQM,"키 큰 여자 연예인들한테 키 속였다는 사실, 너무 웃기지 않음? 😂 

한 연예인이 자신의 키를 낮춰 말한 사실이 밝혀졌는데, 팬들은 ""이 정도면 반칙이다!""라며 엄청난 반응을 보이고 있어. 누가 언제, 어디서 이런 일이 있었는지 궁금하지? 그 연예인은 최근 한 방송에 출연하면서 키에 대한 거짓말을 고백했어. 

팬들은 ""진짜 키보다 작게 보이려고 일부러 그런 거 아니냐""며 열띤 논쟁을 벌이고 있지. 이 사건은 연예인들 사이에서의 '키'에 대한 고정관념을 다시 한번 생각해 보게 해. 

여러분은 이런 상황 어떻게 생각해? 키 속인 연예인에게 뭐라고 해줄 것 같아? 

연예인논란 #키속임 #팬반응 #사회적이슈 #오늘이슈"
17854388538575923,2025-11-25T11:36:42+0000,0,0,1,https://www.threads.com/@ye__bin04/post/DRel4jdErc8,"이순재, 별세와 함께 재산 없다고 고백한 이유는? 배우는 돈이 중요하지 않다고 했던 그의 소신이 다시 주목받고 있습니다. 

고 이순재는 ""50년 늦게 태어났으면 빌딩 한 채 지었다""며 웃음을 자아냈지만, 진정한 배우로서 공부가 더 중요하다고 강조했습니다. 

연기 생활 내내 어려움을 겪었던 그가 후배들에게 남긴 메시지는 무엇일까요? 평생 배우로서의 길을 걸어온 그의 이야기는 정말 감동적입니다. 

여러분은 그가 남긴 말, 어떻게 생각하시나요? 

고이순재 #추모 #연기소신 #배우의길 #감동적인이야기"
18087854755771169,2025-11-25T11:36:19+0000,0,0,1,https://www.threads.com/@ye__bin04/post/DRel1sDkiPE,"“살면서 가장 비참했던 순간 8가지, 나만 이런 걸 겪었나?”

우리가 일상에서 마주치는 슬픈 순간들을 떠올려보면, 정말 힘든 일들이 많죠. 그런 순간들이 나에게 어떻게 흘러갔는지, 어떤 감정이었는지 정말 공감됩니다.

다들 겪어봤을 법한 이야기들인데, 듣다보면 눈물이 날 수도 있겠어요. 이런 경험들을 나누면 서로 조금 더 이해하고 위로할 수 있지 않을까요?

이런 비참한 순간들을 여러분은 어떻게 극복하셨나요? 여러분의 이야기도 듣고 싶어요!

슬픈이야기 #인생의비극 #감정공유 #위로가필요해 #서로이해하기"
